danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.217,0.422,7,-8.177,0,0.0314,0.45,0.00033,0.124,0.201,135.497,audio_features,2YifC094uZSiVCgMSSkJte,spotify:track:2YifC094uZSiVCgMSSkJte,https://api.spotify.com/v1/tracks/2YifC094uZSiVCgMSSkJte,https://api.spotify.com/v1/audio-analysis/2YifC094uZSiVCgMSSkJte,371467,3
0.4,0.915,0,-4.89,1,0.279,0.083,0.0,0.0503,0.871,89.006,audio_features,2a1o6ZejUi8U3wzzOtCOYw,spotify:track:2a1o6ZejUi8U3wzzOtCOYw,https://api.spotify.com/v1/tracks/2a1o6ZejUi8U3wzzOtCOYw,https://api.spotify.com/v1/audio-analysis/2a1o6ZejUi8U3wzzOtCOYw,198773,3
0.754,0.834,9,-8.701,1,0.0897,0.758,0.0,0.0857,0.553,129.953,audio_features,2fQkCPduaWi8UkKmzsu7xG,spotify:track:2fQkCPduaWi8UkKmzsu7xG,https://api.spotify.com/v1/tracks/2fQkCPduaWi8UkKmzsu7xG,https://api.spotify.com/v1/audio-analysis/2fQkCPduaWi8UkKmzsu7xG,225200,4
0.681,0.768,6,-4.356,0,0.0774,0.0314,0.0,0.0839,0.718,162.976,audio_features,2gBQ35qqBE75t00kV221Xy,spotify:track:2gBQ35qqBE75t00kV221Xy,https://api.spotify.com/v1/tracks/2gBQ35qqBE75t00kV221Xy,https://api.spotify.com/v1/audio-analysis/2gBQ35qqBE75t00kV221Xy,161963,4
0.866,0.866,4,-6.539,1,0.0508,0.0195,3.14e-05,0.178,0.417,127.976,audio_features,2kJgeViCMEJwpG6APEhjG2,spotify:track:2kJgeViCMEJwpG6APEhjG2,https://api.spotify.com/v1/tracks/2kJgeViCMEJwpG6APEhjG2,https://api.spotify.com/v1/audio-analysis/2kJgeViCMEJwpG6APEhjG2,191953,4
0.287,0.298,1,-13.61,1,0.0326,0.62,1.87e-05,0.163,0.243,94.531,audio_features,2zdNjnpw2V1DBpx653KK8M,spotify:track:2zdNjnpw2V1DBpx653KK8M,https://api.spotify.com/v1/tracks/2zdNjnpw2V1DBpx653KK8M,https://api.spotify.com/v1/audio-analysis/2zdNjnpw2V1DBpx653KK8M,278443,3
0.526,0.88,9,-2.259,1,0.0967,0.406,0.0,0.321,0.577,79.924,audio_features,310RdXip43ek9uDc6BvALS,spotify:track:310RdXip43ek9uDc6BvALS,https://api.spotify.com/v1/tracks/310RdXip43ek9uDc6BvALS,https://api.spotify.com/v1/audio-analysis/310RdXip43ek9uDc6BvALS,411783,4
0.772,0.649,2,-6.411,1,0.143,0.0724,0.0,0.0761,0.824,90.072,audio_features,32LKwbmh6yVsWoRRF8DIvf,spotify:track:32LKwbmh6yVsWoRRF8DIvf,https://api.spotify.com/v1/tracks/32LKwbmh6yVsWoRRF8DIvf,https://api.spotify.com/v1/audio-analysis/32LKwbmh6yVsWoRRF8DIvf,208000,4
0.77,0.824,1,-6.491,0,0.0851,0.485,0.0,0.318,0.49,172.006,audio_features,39ujbBjTwwqUFySaCYDMMT,spotify:track:39ujbBjTwwqUFySaCYDMMT,https://api.spotify.com/v1/tracks/39ujbBjTwwqUFySaCYDMMT,https://api.spotify.com/v1/audio-analysis/39ujbBjTwwqUFySaCYDMMT,178605,4
0.661,0.662,7,-4.8,0,0.0283,0.773,1.59e-06,0.1,0.548,137.845,audio_features,3WJcy5Cjnsvu6QgUtGJvZR,spotify:track:3WJcy5Cjnsvu6QgUtGJvZR,https://api.spotify.com/v1/tracks/3WJcy5Cjnsvu6QgUtGJvZR,https://api.spotify.com/v1/audio-analysis/3WJcy5Cjnsvu6QgUtGJvZR,217000,4
0.767,0.684,1,-6.601,0,0.34,0.38,0.0,0.119,0.726,180.045,audio_features,48hpUJYW01WZ7lm1SIl8KH,spotify:track:48hpUJYW01WZ7lm1SIl8KH,https://api.spotify.com/v1/tracks/48hpUJYW01WZ7lm1SIl8KH,https://api.spotify.com/v1/audio-analysis/48hpUJYW01WZ7lm1SIl8KH,126443,4
0.589,0.626,0,-5.684,1,0.0273,0.777,1.97e-06,0.13,0.443,114.915,audio_features,4TobDQpylJNxkXMH1QUvTp,spotify:track:4TobDQpylJNxkXMH1QUvTp,https://api.spotify.com/v1/tracks/4TobDQpylJNxkXMH1QUvTp,https://api.spotify.com/v1/audio-analysis/4TobDQpylJNxkXMH1QUvTp,303320,4
0.789,0.811,0,-2.623,1,0.0972,0.124,1.96e-05,0.176,0.661,93.985,audio_features,4ZoPO0uIf19KKO7B0HEnmP,spotify:track:4ZoPO0uIf19KKO7B0HEnmP,https://api.spotify.com/v1/tracks/4ZoPO0uIf19KKO7B0HEnmP,https://api.spotify.com/v1/audio-analysis/4ZoPO0uIf19KKO7B0HEnmP,141862,4
0.712,0.621,2,-6.374,1,0.0278,0.116,5.43e-06,0.142,0.779,101.981,audio_features,4dd9gI8s5V4D3VjMK6L8a3,spotify:track:4dd9gI8s5V4D3VjMK6L8a3,https://api.spotify.com/v1/tracks/4dd9gI8s5V4D3VjMK6L8a3,https://api.spotify.com/v1/audio-analysis/4dd9gI8s5V4D3VjMK6L8a3,205908,4
0.604,0.809,5,-7.78,1,0.0503,0.369,0.0,0.702,0.964,174.048,audio_features,4easPOu3zSJCK6js56K909,spotify:track:4easPOu3zSJCK6js56K909,https://api.spotify.com/v1/tracks/4easPOu3zSJCK6js56K909,https://api.spotify.com/v1/audio-analysis/4easPOu3zSJCK6js56K909,124226,3
0.52,0.798,6,-5.498,0,0.0391,0.101,0.0,0.0932,0.168,101.944,audio_features,4jp4Z02kzzg8gK0NmDGgml,spotify:track:4jp4Z02kzzg8gK0NmDGgml,https://api.spotify.com/v1/tracks/4jp4Z02kzzg8gK0NmDGgml,https://api.spotify.com/v1/audio-analysis/4jp4Z02kzzg8gK0NmDGgml,167977,4
0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727,audio_features,58HvfVOeJY7lUuCqF0m3ly,spotify:track:58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/tracks/58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/audio-analysis/58HvfVOeJY7lUuCqF0m3ly,184448,3
